name,code,parent_code,cls_type_id
FOOD,01,,7
БАКАЛЕЯ,01.002,01,7
КРУПЫ,01.002.0086,01.002,7
"КАШИ ДЛЯ ВАРКИ, ХЛОПЬЯ",01.002.0086.0297,01.002.0086,7
КАШИ ПОРЦИОННЫЕ,01.002.0086.0298,01.002.0086,7
КРУПЫ В ВАРОЧНЫХ ПАКЕТАХ,01.002.0086.0379,01.002.0086,7
КРУПЫ В УПАКОВКЕ,01.002.0086.0381,01.002.0086,7
КРУПЫ ВЕСОВЫЕ,01.002.0086.0380,01.002.0086,7
КРУПЫ ГАРНИРЫ,01.002.0086.0382,01.002.0086,7
МАКАРОННЫЕ ИЗДЕЛИЯ,01.002.0091,01.002,7
МАКАРОННЫЕ ИЗДЕЛИЯ ВЕСОВЫЕ,01.002.0091.0429,01.002.0091,7
МАКАРОННЫЕ ИЗДЕЛИЯ ДЛИННОРЕЗ,01.002.0091.0430,01.002.0091,7
МАКАРОННЫЕ ИЗДЕЛИЯ ДРУГИЕ,01.002.0091.0431,01.002.0091,7
МАКАРОННЫЕ ИЗДЕЛИЯ КОРОТКОРЕЗ,01.002.0091.0432,01.002.0091,7
МАКАРОННЫЕ ИЗДЕЛИЯ СПЕЦФОРМАТЫ,01.002.0091.0433,01.002.0091,7
МУКА,01.002.0104,01.002,7
МУКА ДРУГАЯ,01.002.0104.0484,01.002.0104,7
МУКА ПШЕНИЧНАЯ,01.002.0104.0486,01.002.0104,7
МУЧНЫЕ СМЕСИ ДЛЯ ВЫПЕЧКИ,01.002.0104.0489,01.002.0104,7
ПРОДУКТЫ Б/П,01.002.0144,01.002,7
ВЕРМИШЕЛЬ БП,01.002.0144.0061,01.002.0144,7
КАРТОФЕЛЬНОЕ ПЮРЕ БП,01.002.0144.0291,01.002.0144,7
СМЕСИ ДЛЯ ВАРКИ СУПОВ,01.002.0144.0753,01.002.0144,7
СУПЫ БП,01.002.0144.0820,01.002.0144,7
ПРОДУКТЫ ДЛЯ ЭТНИЧЕСКОЙ КУХНИ,01.002.0145,01.002,7
ПРОДУКТЫ ДЛЯ ПРИГОТОВЛЕНИЯ СУШИ,01.002.0145.0648,01.002.0145,7
РАСТИТЕЛЬНЫЕ МАСЛА,01.002.0150,01.002,7
МАСЛО ОЛИВКОВОЕ,01.002.0150.0447,01.002.0150,7
МАСЛО ПОДСОЛНЕЧНОЕ,01.002.0150.0448,01.002.0150,7
МАСЛО РАСТИТЕЛЬНОЕ ПРОЧЕЕ,01.002.0150.0449,01.002.0150,7
САХАР,01.002.0162,01.002,7
САХАР ВЕСОВОЙ,01.002.0162.0715,01.002.0162,7
САХАР ДРУГОЙ,01.002.0162.0716,01.002.0162,7
САХАР-ПЕСОК,01.002.0162.0717,01.002.0162,7
САХАР-РАФИНАД,01.002.0162.0718,01.002.0162,7
СОЛЬ,01.002.0174,01.002,7
СОЛЬ ДРУГАЯ,01.002.0174.0776,01.002.0174,7
СОЛЬ КАМЕННАЯ,01.002.0174.0777,01.002.0174,7
СОЛЬ МОРСКАЯ,01.002.0174.0778,01.002.0174,7
"СПЕЦИИ, ПРИПРАВЫ, КОНЦЕНТРАТЫ",01.002.0176,01.002,7
БУЛЬОННЫЕ КУБИКИ,01.002.0176.0051,01.002.0176,7
ИНГРИДИЕНТЫ И ПРОДУКТЫ ДЛЯ ВЫПЕЧКИ,01.002.0176.0264,01.002.0176,7
ПИЩЕВЫЕ КРАСИТЕЛИ,01.002.0176.0613,01.002.0176,7
ПРИПРАВОЧНЫЕ СМЕСИ,01.002.0176.0645,01.002.0176,7
"ПРЯНОСТИ, СУШЕНЫЕ ОВОЩИ",01.002.0176.0657,01.002.0176,7
"СЛИВКИ, МОЛОКО СУХОЕ",01.002.0176.0747,01.002.0176,7
СУХИЕ ДЕСЕРТЫ И НАПИТКИ,01.002.0176.0826,01.002.0176,7
СУХИЕ СОУСЫ И СМЕСИ,01.002.0176.0828,01.002.0176,7
УКСУС,01.002.0176.0892,01.002.0176,7
ГАСТРОНОМИЯ МЯСНАЯ,01.006,01,7
ВЕТЧИНА,01.006.0020,01.006,7
ВЕТЧИНА ВЕСОВАЯ,01.006.0020.0068,01.006.0020,7
ВЕТЧИНА НАРЕЗКА ШТУЧНАЯ,01.006.0020.0070,01.006.0020,7
ВЕТЧИНА ШТУЧНАЯ,01.006.0020.0071,01.006.0020,7
ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ,01.006.0034,01.006,7
ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ДРУГИЕ ВЕС,01.006.0034.0150,01.006.0034,7
ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ДРУГИЕ ШТУЧНЫЕ,01.006.0034.0151,01.006.0034,7
ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ТУШКА,01.006.0034.0152,01.006.0034,7
ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ЧАСТИ ВЕС,01.006.0034.0153,01.006.0034,7
СНЕКИ ИЗ ПТИЦЫ ВЕСОВЫЕ,01.006.0034.0761,01.006.0034,7
СНЕКИ ИЗ ПТИЦЫ ШТУЧНЫЕ,01.006.0034.0762,01.006.0034,7
ДЕЛИКАТЕСЫ МЯСНЫЕ,01.006.0035,01.006,7
МЯСНЫЕ ДЕЛИКАТЕСЫ ВАРЕНО-КОПЧЕНЫЕ ВЕСОВЫЕ,01.006.0035.0495,01.006.0035,7
