cls_type_id,code,parent_code,name,color
7,01.002.0086.0297,01.002.0086,"КАШИ ДЛЯ ВАРКИ, ХЛОПЬЯ",CCCCCC
7,01.002.0086.0298,01.002.0086,КАШИ ПОРЦИОННЫЕ,CCCCCC
7,01.002.0086.0379,01.002.0086,КРУПЫ В ВАРОЧНЫХ ПАКЕТАХ,CCCCCC
7,01.002.0086.0381,01.002.0086,КРУПЫ В УПАКОВКЕ,CCCCCC
7,01.002.0086.0380,01.002.0086,КРУПЫ ВЕСОВЫЕ,CCCCCC
7,01.002.0086.0382,01.002.0086,КРУПЫ ГАРНИРЫ,CCCCCC
7,01.002.0091.0429,01.002.0091,МАКАРОННЫЕ ИЗДЕЛИЯ ВЕСОВЫЕ,CCCCCC
7,01.002.0091.0430,01.002.0091,МАКАРОННЫЕ ИЗДЕЛИЯ ДЛИННОРЕЗ,CCCCCC
7,01.002.0091.0431,01.002.0091,МАКАРОННЫЕ ИЗДЕЛИЯ ДРУГИЕ,CCCCCC
7,01.002.0091.0432,01.002.0091,МАКАРОННЫЕ ИЗДЕЛИЯ КОРОТКОРЕЗ,CCCCCC
7,01.002.0091.0433,01.002.0091,МАКАРОННЫЕ ИЗДЕЛИЯ СПЕЦФОРМАТЫ,CCCCCC
7,01.002.0104.0484,01.002.0104,МУКА ДРУГАЯ,CCCCCC
7,01.002.0104.0486,01.002.0104,МУКА ПШЕНИЧНАЯ,CCCCCC
7,01.002.0104.0489,01.002.0104,МУЧНЫЕ СМЕСИ ДЛЯ ВЫПЕЧКИ,CCCCCC
7,01.002.0144.0061,01.002.0144,ВЕРМИШЕЛЬ БП,CCCCCC
7,01.002.0144.0291,01.002.0144,КАРТОФЕЛЬНОЕ ПЮРЕ БП,CCCCCC
7,01.002.0144.0753,01.002.0144,СМЕСИ ДЛЯ ВАРКИ СУПОВ,CCCCCC
7,01.002.0144.0820,01.002.0144,СУПЫ БП,CCCCCC
7,01.002.0145.0648,01.002.0145,ПРОДУКТЫ ДЛЯ ПРИГОТОВЛЕНИЯ СУШИ,CCCCCC
7,01.002.0150.0447,01.002.0150,МАСЛО ОЛИВКОВОЕ,CCCCCC
7,01.002.0150.0448,01.002.0150,МАСЛО ПОДСОЛНЕЧНОЕ,CCCCCC
7,01.002.0150.0449,01.002.0150,МАСЛО РАСТИТЕЛЬНОЕ ПРОЧЕЕ,CCCCCC
7,01.002.0162.0715,01.002.0162,САХАР ВЕСОВОЙ,CCCCCC
7,01.002.0162.0716,01.002.0162,САХАР ДРУГОЙ,CCCCCC
7,01.002.0162.0717,01.002.0162,САХАР-ПЕСОК,CCCCCC
7,01.002.0162.0718,01.002.0162,САХАР-РАФИНАД,CCCCCC
7,01.002.0174.0776,01.002.0174,СОЛЬ ДРУГАЯ,CCCCCC
7,01.002.0174.0777,01.002.0174,СОЛЬ КАМЕННАЯ,CCCCCC
7,01.002.0174.0778,01.002.0174,СОЛЬ МОРСКАЯ,CCCCCC
7,01.002.0176.0051,01.002.0176,БУЛЬОННЫЕ КУБИКИ,CCCCCC
7,01.002.0176.0264,01.002.0176,ИНГРИДИЕНТЫ И ПРОДУКТЫ ДЛЯ ВЫПЕЧКИ,CCCCCC
7,01.002.0176.0613,01.002.0176,ПИЩЕВЫЕ КРАСИТЕЛИ,CCCCCC
7,01.002.0176.0645,01.002.0176,ПРИПРАВОЧНЫЕ СМЕСИ,CCCCCC
7,01.002.0176.0657,01.002.0176,"ПРЯНОСТИ, СУШЕНЫЕ ОВОЩИ",CCCCCC
7,01.002.0176.0747,01.002.0176,"СЛИВКИ, МОЛОКО СУХОЕ",CCCCCC
7,01.002.0176.0826,01.002.0176,СУХИЕ ДЕСЕРТЫ И НАПИТКИ,CCCCCC
7,01.002.0176.0828,01.002.0176,СУХИЕ СОУСЫ И СМЕСИ,CCCCCC
7,01.002.0176.0892,01.002.0176,УКСУС,CCCCCC
7,01.006.0020.0068,01.006.0020,ВЕТЧИНА ВЕСОВАЯ,CCCCCC
7,01.006.0020.0070,01.006.0020,ВЕТЧИНА НАРЕЗКА ШТУЧНАЯ,CCCCCC
7,01.006.0020.0071,01.006.0020,ВЕТЧИНА ШТУЧНАЯ,CCCCCC
7,01.006.0034.0150,01.006.0034,ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ДРУГИЕ ВЕС,CCCCCC
7,01.006.0034.0151,01.006.0034,ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ДРУГИЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0034.0152,01.006.0034,ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ТУШКА,CCCCCC
7,01.006.0034.0153,01.006.0034,ДЕЛИКАТЕСЫ ИЗ ПТИЦЫ ЧАСТИ ВЕС,CCCCCC
7,01.006.0034.0761,01.006.0034,СНЕКИ ИЗ ПТИЦЫ ВЕСОВЫЕ,CCCCCC
7,01.006.0034.0762,01.006.0034,СНЕКИ ИЗ ПТИЦЫ ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0495,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ ВАРЕНО-КОПЧЕНЫЕ ВЕСОВЫЕ,CCCCCC
7,01.006.0035.0496,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ ВАРЕНО-КОПЧЕНЫЕ НАРЕЗКА ВЕСОВЫЕ,CCCCCC
7,01.006.0035.0497,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ ВАРЕНО-КОПЧЕНЫЕ НАРЕЗКА ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0498,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ ВАРЕНО-КОПЧЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0499,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ ВЕСОВЫЕ,CCCCCC
7,01.006.0035.0500,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ НАРЕЗКА ВЕС,CCCCCC
7,01.006.0035.0501,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ НАРЕЗКА ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0502,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0503,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ ВЕСОВЫЕ,CCCCCC
